# Time-averaged data for fix global_out
# TimeStep v_nmobile v_nbank v_noutlet f_outlet c_sum_contact c_max_contact c_sum_ke c_sum_erot c_bank_contact c_bank_ke c_bank_erot
272000 79847 65492 0 857 452 2 1.12175e-05 8.15509e-07 442 8.80299e-06 7.74415e-07
274000 79802 65974 0 902 421 2 1.12432e-05 8.16134e-07 414 8.87041e-06 7.75107e-07
276000 79756 66512 0 948 444 2 1.12571e-05 8.2088e-07 440 8.93831e-06 7.78958e-07
278000 79708 67265 0 996 419 2 1.12716e-05 8.19783e-07 403 9.05327e-06 7.77551e-07
280000 79646 68360 0 1058 430 2 1.12654e-05 8.29155e-07 420 9.21874e-06 7.8741e-07
282000 79598 69479 0 1106 485 2 1.12562e-05 8.35676e-07 477 9.37571e-06 7.94344e-07
284000 79539 69705 0 1165 536 2 1.12284e-05 8.43951e-07 530 9.3592e-06 8.01491e-07
286000 79466 69893 0 1238 494 3 1.11824e-05 8.52575e-07 488 9.32635e-06 8.11515e-07
288000 79390 70095 0 1314 542 2 1.11336e-05 8.54669e-07 526 9.3007e-06 8.13249e-07
290000 79317 70332 0 1387 575 2 1.10981e-05 8.5273e-07 562 9.29239e-06 8.11194e-07
292000 79247 70554 0 1457 455 2 1.1079e-05 8.48872e-07 445 9.29565e-06 8.06789e-07
294000 79167 70788 0 1537 501 2 1.10545e-05 8.45333e-07 497 9.301e-06 8.01689e-07
296000 79088 71028 0 1616 540 2 1.1043e-05 8.42123e-07 532 9.31103e-06 7.98512e-07
298000 78977 71291 0 1727 514 2 1.10158e-05 8.37688e-07 510 9.33009e-06 7.94291e-07
300000 87411 71570 0 1813 500 2 1.20825e-05 8.33181e-07 484 9.36118e-06 7.88654e-07
302000 87297 71841 0 1927 530 2 1.20845e-05 8.32882e-07 512 9.38824e-06 7.87823e-07
304000 87212 72152 0 2012 516 2 1.21029e-05 8.33026e-07 508 9.42615e-06 7.87012e-07
306000 87119 72552 0 2105 504 2 1.21186e-05 8.33426e-07 496 9.48623e-06 7.86147e-07
308000 87024 73015 0 2200 484 2 1.21313e-05 8.33679e-07 476 9.55692e-06 7.85196e-07
310000 86923 73710 0 2301 513 2 1.21443e-05 8.29305e-07 499 9.6693e-06 7.80798e-07
312000 86800 74721 0 2424 495 2 1.21319e-05 8.32892e-07 481 9.83572e-06 7.83942e-07
314000 86700 76005 0 2524 494 2 1.21194e-05 8.41368e-07 482 1.00452e-05 7.93117e-07
316000 86595 76400 0 2629 596 2 1.20981e-05 8.47872e-07 582 1.0071e-05 7.99531e-07
318000 86477 76526 0 2747 564 3 1.20527e-05 8.51616e-07 562 1.0042e-05 8.04987e-07
320000 86365 76663 0 2859 605 2 1.20092e-05 8.54569e-07 597 1.00173e-05 8.0711e-07
322000 86240 76859 0 2984 538 2 1.19657e-05 8.60201e-07 534 1.00078e-05 8.12183e-07
324000 86130 77010 0 3094 548 2 1.19364e-05 8.57191e-07 542 9.99873e-06 8.07442e-07
326000 86005 77171 0 3219 564 2 1.18966e-05 8.56239e-07 558 9.98603e-06 8.04943e-07
328000 85879 77340 0 3345 560 2 1.18621e-05 8.54538e-07 552 9.98687e-06 8.026e-07
330000 85762 77556 0 3462 613 2 1.18331e-05 8.52892e-07 591 9.99921e-06 8.00787e-07
332000 93953 77778 0 3596 553 2 1.28551e-05 8.53407e-07 534 1.00119e-05 8.00693e-07
334000 93813 78022 0 3736 603 2 1.2844e-05 8.5144e-07 593 1.00313e-05 7.97332e-07
336000 93701 78265 0 3848 575 2 1.28501e-05 8.48628e-07 565 1.00494e-05 7.91857e-07
338000 93555 78586 0 3994 526 2 1.28445e-05 8.45898e-07 522 1.00902e-05 7.90024e-07
340000 93413 78987 0 4136 530 2 1.28444e-05 8.46063e-07 520 1.01501e-05 7.8977e-07
342000 93296 79447 0 4253 527 2 1.28563e-05 8.42161e-07 523 1.0219e-05 7.85457e-07
344000 93159 80184 0 4390 552 2 1.28484e-05 8.46087e-07 540 1.03232e-05 7.88535e-07
346000 93003 81253 0 4546 580 2 1.28308e-05 8.46641e-07 570 1.04919e-05 7.88557e-07
348000 92859 81921 0 4690 644 2 1.2807e-05 8.55341e-07 632 1.0573e-05 7.96906e-07
350000 92700 81982 0 4849 642 2 1.27651e-05 8.63012e-07 626 1.05386e-05 8.0471e-07
352000 92538 82061 0 5011 662 3 1.27158e-05 8.67087e-07 654 1.05024e-05 8.08283e-07
354000 92402 82110 0 5147 640 3 1.2676e-05 8.68274e-07 632 1.04613e-05 8.08741e-07
356000 92244 82204 0 5305 664 2 1.26354e-05 8.61982e-07 652 1.04353e-05 8.02523e-07
358000 92097 82319 0 5452 709 2 1.25974e-05 8.6006e-07 693 1.04183e-05 8.01188e-07
360000 91941 82417 0 5608 633 2 1.25623e-05 8.57146e-07 619 1.04082e-05 7.98157e-07
362000 91798 82529 0 5751 598 2 1.25275e-05 8.59108e-07 592 1.03856e-05 7.99733e-07
364000 100458 82663 0 5909 642 3 1.36068e-05 8.56678e-07 632 1.03832e-05 7.97539e-07
366000 100280 82762 0 6087 638 2 1.35921e-05 8.52036e-07 618 1.03696e-05 7.92665e-07
368000 100121 82954 0 6246 596 2 1.35886e-05 8.50322e-07 572 1.0374e-05 7.90068e-07
370000 99946 83167 0 6421 665 2 1.35843e-05 8.44086e-07 641 1.03905e-05 7.83449e-07
